docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
S175058361300203X-1556	1	1	Quantity	°C		65	70	65	70	T1-1	34 °C
S175058361300203X-1556	1	1	MeasuredEntity		{'HasQuantity': 'T1-1'}	81	87	81	87	T3-1	option
S175058361300203X-1556	1	2	Quantity	°C		75	80	75	80	T1-2	38 °C
S175058361300203X-1556	1	2	MeasuredEntity		{'HasQuantity': 'T1-2'}	81	87	81	87	T3-2	option
S175058361300203X-1556	4	3	Quantity	°C		42	47	628	633	T1-3	38 °C
S175058361300203X-1556	4	3	MeasuredEntity		{'HasQuantity': 'T1-3'}	58	66	644	652	T3-3	scenario
S175058361300203X-1556	4	4	Quantity	°C		52	57	638	643	T1-4	34 °C
S175058361300203X-1556	4	4	MeasuredEntity		{'HasQuantity': 'T1-4'}	58	66	644	652	T3-4	scenario
S175058361300203X-1556	4	5	Quantity	%		82	94	668	680	T1-5	less than 1%
S175058361300203X-1556	4	5	MeasuredProperty		{'HasQuantity': 'T1-5'}	0	67	586	653	T2-5	Seismic amplitude differences between the 38 °C and 34 °C scenarios
S175058361300203X-1556	4	5	MeasuredEntity		{'HasProperty': 'T2-5'}	102	134	688	720	T4-5	amplitude values of the baseline
S175058361300203X-1556	5	6	Quantity	%		87	103	818	834	T1-6	greater than 10%
S175058361300203X-1556	5	6	MeasuredEntity		{'HasQuantity': 'T1-6'}	10	56	741	787	T2-6	normalized root mean square (NRMS) differences
