docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101002app20681	29	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	60	64	3512	3516	T2-1	kept
101002app20681	29	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	19	54	3471	3506	T3-1	peroxide-containing composite films
101002app20681	29	1	Quantity	degC	"{""unit"": ""degC""}"	80	86	3532	3538	T1-1	70degC
101002app20681	29	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	60	64	3512	3516	T2-2	kept
101002app20681	29	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	19	54	3471	3506	T3-2	peroxide-containing composite films
101002app20681	29	2	Quantity	h	"{""unit"": ""h""}"	91	94	3543	3546	T1-2	2 h
101002app20681	29	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	164	169	3616	3621	T2-3	cured
101002app20681	29	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	119	126	3571	3578	T3-3	samples
101002app20681	29	3	Quantity	degC	"{""unit"": ""degC""}"	173	180	3625	3632	T1-3	170degC
101002app20681	29	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	164	169	3616	3621	T2-4	cured
101002app20681	29	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	119	126	3571	3578	T3-4	samples
101002app20681	29	4	Quantity	min	"{""unit"": ""min""}"	185	191	3637	3643	T1-4	30 min
101002app20681	26	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	43	58	3157	3172	T2-5	complete mixing
101002app20681	26	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	62	82	3176	3196	T3-5	TEOS, water, and HCl
101002app20681	26	5	Quantity	min	"{""unit"": ""min""}"	105	111	3219	3225	T1-5	30 min
101002app20681	4	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	26	30	478	482	T2-6	pure
101002app20681	4	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	0	20	452	472	T3-6	Tetrahydrofuran (THF
101002app20681	4	6	Quantity	%	"{""unit"": ""%""}"	22	25	474	477	T1-6	99%
101002app20681	3	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	25	32	391	398	T2-7	density
101002app20681	3	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	0	23	366	389	T3-7	Tetraethoxysilane (TEOS
101002app20681	3	7	Quantity	kg/m3	"{""unit"": ""kg/m3""}"	35	44	401	410	T1-7	930 kg/m3
101002app20681	5	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	39	58	557	576	T2-8	particle size range
101002app20681	5	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	4	37	522	555	T3-8	precipitated silica (Ultrasil VN3
101002app20681	5	8	Quantity	nm	"{""unit"": ""nm""}"	61	70	579	588	T1-8	40-100 nm
101002app20681	5	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	72	86	590	604	T2-9	oil absorption
101002app20681	5	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	4	37	522	555	T3-9	precipitated silica (Ultrasil VN3
101002app20681	5	9	Quantity	g/kg	"{""unit"": ""g/kg""}"	89	97	607	615	T1-9	2.4 g/kg
101002app20681	5	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	99	101	617	619	T2-10	pH
101002app20681	5	10	MeasuredEntity		"{""HasProperty"": ""T2-10""}"	4	37	522	555	T3-10	precipitated silica (Ultrasil VN3
101002app20681	5	10	Quantity			104	105	622	623	T1-10	6
101002app20681	8	11	MeasuredProperty		"{""HasQuantity"": ""T1-11""}"	111	122	939	950	T2-11	molar ratio
