docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101002cctc201200482	1	1	MeasuredEntity		"{""HasQuantity"": ""T1-1""}"	129	175	129	175	T3-1	"2,5-diformylfuran
5-Hydroxymethylfurfural (HMF"
101002cctc201200482	1	1	Quantity	%	"{""unit"": ""%""}"	177	182	177	182	T1-1	>99 %
101002cctc201200482	1	2	MeasuredEntity		"{""HasQuantity"": ""T1-2""}"	185	197	185	197	T3-2	acetonitrile
101002cctc201200482	1	2	Quantity	%	"{""unit"": ""%""}"	199	207	199	207	T1-2	>=99.9 %
101002cctc201200482	1	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	219	228	219	228	T2-3	anhydrous
101002cctc201200482	1	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	210	217	210	217	T3-3	toluene
101002cctc201200482	1	3	Quantity	%	"{""unit"": ""%""}"	230	236	230	236	T1-3	99.8 %
101002cctc201200482	1	4	MeasuredEntity		"{""HasQuantity"": ""T1-4""}"	239	267	239	267	T3-4	α,α,α-trifluorotoluene (TFT)
101002cctc201200482	1	4	Quantity	%	"{""unit"": ""%""}"	269	275	269	275	T1-4	>=99 %
101002cctc201200482	1	5	MeasuredEntity		"{""HasQuantity"": ""T1-5""}"	278	304	278	304	T3-5	N,N-dimethylformamide (DMF
101002cctc201200482	1	5	Quantity	%	"{""unit"": ""%""}"	306	314	306	314	T1-5	>=99.9 %
101002cctc201200482	1	6	MeasuredEntity		"{""HasQuantity"": ""T1-6""}"	317	338	317	338	T3-6	ammonium metavanadate
101002cctc201200482	1	6	Quantity	%	"{""unit"": ""%""}"	340	346	340	346	T1-6	>=99 %
101002cctc201200482	1	7	MeasuredEntity		"{""HasQuantity"": ""T1-7""}"	349	360	349	360	T3-7	oxalic acid
101002cctc201200482	1	7	Quantity	%	"{""unit"": ""%""}"	362	368	362	368	T1-7	>=99 %
101002cctc201200482	1	8	MeasuredEntity		"{""HasQuantity"": ""T1-8""}"	371	385	371	385	T3-8	sodium nitrate
101002cctc201200482	1	8	Quantity	%	"{""unit"": ""%""}"	387	393	387	393	T1-8	>=99 %
101002cctc201200482	1	9	MeasuredEntity		"{""HasQuantity"": ""T1-9""}"	400	407	400	407	T3-9	anisole
101002cctc201200482	1	9	Quantity	%	"{""unit"": ""%""}"	409	413	409	413	T1-9	99 %
101002cctc201200482	5	10	MeasuredEntity		"{""HasQuantity"": ""T1-10""}"	0	8	613	621	T3-10	Dioxygen
101002cctc201200482	5	10	Quantity	%	"{""unit"": ""%""}"	10	16	623	629	T1-10	99.5 %
101002cctc201200482	4	11	MeasuredEntity		"{""HasQuantity"": ""T1-11""}"	0	22	551	573	T3-11	2,5-Diformylfuran (DFF
101002cctc201200482	4	11	Quantity	%	"{""unit"": ""%""}"	24	28	575	579	T1-11	98 %
101002cctc201200482	12	12	MeasuredProperty		"{""HasQuantity"": ""T1-12""}"	383	394	1447	1458	T2-12	molar ratio
101002cctc201200482	12	12	MeasuredEntity		"{""HasProperty"": ""T2-12""}"	338	375	1402	1439	T3-12	ammonium metavanadate and oxalic acid
101002cctc201200482	12	12	Quantity			395	398	1459	1462	T1-12	1:2
101002cctc201200482	12	13	MeasuredProperty		"{""HasQuantity"": ""T1-13""}"	66	74	1130	1138	T2-13	prepared
101002cctc201200482	12	13	MeasuredEntity		"{""HasProperty"": ""T2-13""}"	56	60	1120	1124	T3-13	V2O5
101002cctc201200482	12	13	Quantity	wt %	"{""unit"": ""wt %""}"	46	55	1110	1119	T1-13	1-10 wt %
101002cctc201200482	12	14	MeasuredProperty		"{""HasQuantity"": ""T1-14""}"	216	223	1280	1287	T2-14	prepare
101002cctc201200482	12	14	MeasuredEntity		"{""HasProperty"": ""T2-14""}"	231	265	1295	1329	T3-14	zeolite-supported vanadia catalyst
101002cctc201200482	12	14	Quantity	wt %	"{""unit"": ""wt %""}"	224	230	1288	1294	T1-14	3 wt %
101002cctc201200482	12	15	MeasuredEntity		"{""HasQuantity"": ""T1-15""}"	435	442	1499	1506	T3-15	zeolite
101002cctc201200482	12	15	Quantity	g	"{""unit"": ""g""}"	424	427	1488	1491	T1-15	1 g
101002cctc201200482	12	16	MeasuredProperty		"{""HasQuantity"": ""T1-16""}"	415	420	1479	1484	T2-16	added
101002cctc201200482	12	16	MeasuredEntity		"{""HasProperty"": ""T2-16""}"	278	296	1342	1360	T3-16	NH4VO3/oxalic acid
101002cctc201200482	12	16	Quantity	mL	"{""unit"": ""mL""}"	267	274	1331	1338	T1-16	1.75 mL
101002cctc201200482	12	17	MeasuredProperty		"{""HasQuantity"": ""T1-17""}"	415	420	1479	1484	T2-17	added
101002cctc201200482	12	17	MeasuredEntity		"{""HasProperty"": ""T2-17""}"	278	296	1342	1360	T3-17	NH4VO3/oxalic acid
101002cctc201200482	12	17	Quantity	M	"{""unit"": ""M""}"	315	322	1379	1386	T1-17	0.378 M
101002cctc201200482	12	18	MeasuredProperty		"{""HasQuantity"": ""T1-18""}"	324	332	1388	1396	T2-18	prepared
101002cctc201200482	12	18	MeasuredEntity		"{""HasProperty"": ""T2-18""}"	338	375	1402	1439	T3-18	ammonium metavanadate and oxalic acid
101002cctc201200482	12	18	Quantity	degC	"{""unit"": ""degC""}"	402	409	1466	1473	T1-18	70 degC
101002cctc201200482	11	19	MeasuredEntity		"{""HasQuantity"": ""T1-19""}"	1	6	858	863	T3-19	Si/Al
101002cctc201200482	11	19	Quantity			7	9	864	866	T1-19	15
101002cctc201200482	11	20	MeasuredProperty		"{""HasQuantity"": ""T1-20""}"	22	27	879	884	T2-20	Si/Al
101002cctc201200482	11	20	MeasuredEntity		"{""HasProperty"": ""T2-20""}"	12	20	869	877	T3-20	NH4-beta
101002cctc201200482	11	20	Quantity			28	30	885	887	T1-20	25
101002cctc201200482	11	21	MeasuredProperty		"{""HasQuantity"": ""T1-21""}"	48	53	905	910	T2-21	Si/Al
101002cctc201200482	11	21	MeasuredEntity		"{""HasProperty"": ""T2-21""}"	33	46	890	903	T3-21	NH4-mordenite
