docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101002ejic201201429	2	1	MeasuredEntity		"{""HasQuantity"": ""T1-1""}"	0	15	686	701	T3-1	Deionized water
101002ejic201201429	2	1	Quantity	MΩ cm	"{""unit"": ""M\u03a9 cm""}"	17	25	703	711	T1-1	18 MΩ cm
101002ejic201201429	24	2	MeasuredEntity		"{""HasQuantity"": ""T1-2""}"	13	23	3384	3394	T3-2	Co loading
101002ejic201201429	24	2	Quantity	wt.-%,	"{""unit"": ""wt.-%,""}"	27	38	3398	3409	T1-2	12.7 wt.-%,
101002ejic201201429	24	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	91	99	3462	3470	T2-3	realized
101002ejic201201429	24	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	54	85	3425	3456	T3-3	incipient wetness impregnations
101002ejic201201429	24	3	Quantity			39	42	3410	3413	T1-3	two
101002ejic201201429	9	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	9	20	1458	1469	T2-4	dissolution
101002ejic201201429	9	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	28	35	1477	1484	T3-4	polymer
101002ejic201201429	9	4	Quantity	min	"{""unit"": ""min""}"	54	60	1503	1509	T1-4	<1 min
101002ejic201201429	16	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	13	21	2351	2359	T2-5	stirring
101002ejic201201429	16	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	47	50	2385	2388	T3-5	gel
101002ejic201201429	16	5	Quantity	h	"{""unit"": ""h""}"	6	9	2344	2347	T1-5	1 h
101002ejic201201429	16	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	79	85	2417	2423	T2-6	heated
101002ejic201201429	16	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	47	50	2385	2388	T3-6	gel
101002ejic201201429	16	6	Quantity	degC	"{""unit"": ""degC""}"	89	97	2427	2435	T1-6	100 degC
101002ejic201201429	16	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	79	85	2417	2423	T2-7	heated
101002ejic201201429	16	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	47	50	2385	2388	T3-7	gel
101002ejic201201429	16	7	Quantity	h	"{""unit"": ""h""}"	102	106	2440	2444	T1-7	24 h
101002ejic201201429	4	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	227	232	1020	1025	T2-8	added
101002ejic201201429	4	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	156	179	949	972	T3-8	citric acid monohydrate
101002ejic201201429	4	8	Quantity	equiv	"{""unit"": ""equiv""}"	210	219	1003	1012	T1-8	1-2 equiv
101002ejic201201429	4	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	227	232	1020	1025	T2-9	added
101002ejic201201429	4	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	98	128	891	921	T3-9	cobalt(II) nitrate hexahydrate
101002ejic201201429	4	9	Quantity	mg	"{""unit"": ""mg""}"	130	138	923	931	T1-9	115.5 mg
101002ejic201201429	4	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	227	232	1020	1025	T2-10	added
