docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101007s11164-011-0277-z	2	1	MeasuredEntity		"{""HasQuantity"": ""T1-1""}"	0	5	270	275	T3-1	TiCl3
101007s11164-011-0277-z	2	1	Quantity	wt%	"{""unit"": ""wt%""}"	6	12	276	282	T1-1	20 wt%
101007s11164-011-0277-z	4	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	159	169	634	644	T2-2	metal ions
101007s11164-011-0277-z	4	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	28	110	503	585	T3-2	50 mL mixed aqueous solution of TiCl3, FeCl2*4H2O and hexamethylenetetramine (HMT)
101007s11164-011-0277-z	4	2	Quantity	mol	"{""unit"": ""mol""}"	147	155	622	630	T1-2	0.03 mol
101007s11164-011-0277-z	4	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	186	189	661	664	T2-3	HMT
101007s11164-011-0277-z	4	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	28	110	503	585	T3-3	50 mL mixed aqueous solution of TiCl3, FeCl2*4H2O and hexamethylenetetramine (HMT)
101007s11164-011-0277-z	4	3	Quantity	mol	"{""unit"": ""mol""}"	174	182	649	657	T1-3	0.06 mol
101007s11164-011-0277-z	4	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	121	129	596	604	T2-4	prepared
101007s11164-011-0277-z	4	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	34	110	509	585	T3-4	mixed aqueous solution of TiCl3, FeCl2*4H2O and hexamethylenetetramine (HMT)
101007s11164-011-0277-z	4	4	Quantity	mL	"{""unit"": ""mL""}"	28	33	503	508	T1-4	50 mL
101007s11164-011-0277-z	5	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	78	84	744	750	T2-5	heated
101007s11164-011-0277-z	5	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	10	18	676	684	T3-5	solution
101007s11164-011-0277-z	5	5	Quantity	degC	"{""unit"": ""degC""}"	88	96	754	762	T1-5	190 degC
101007s11164-011-0277-z	5	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	78	84	744	750	T2-6	heated
101007s11164-011-0277-z	5	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	10	18	676	684	T3-6	solution
101007s11164-011-0277-z	5	6	Quantity	h	"{""unit"": ""h""}"	101	104	767	770	T1-6	2 h
101007s11164-011-0277-z	7	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	27	39	913	925	T2-7	vacuum-dried
101007s11164-011-0277-z	7	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	13	21	899	907	T3-7	products
101007s11164-011-0277-z	7	7	Quantity	degC	"{""unit"": ""degC""}"	43	50	929	936	T1-7	60 degC
