docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jcej201005016	4	1	MeasuredEntity		"{""HasQuantity"": ""T1-1""}"	105	118	583	596	T3-1	H2O g-1 solid
101016jcej201005016	4	1	Quantity	mL	"{""unit"": ""mL""}"	99	104	577	582	T1-1	20 mL
101016jcej201005016	4	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	80	88	558	566	T2-2	refluxed
101016jcej201005016	4	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	60	75	538	553	T3-2	resulting solid
101016jcej201005016	4	2	Quantity	h	"{""unit"": ""h""}"	124	127	602	605	T1-2	1 h
101016jcej201005016	5	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	54	59	661	666	T2-3	dried
101016jcej201005016	5	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	0	2	607	609	T3-3	It
101016jcej201005016	5	3	Quantity	degC	"{""unit"": ""degC""}"	68	76	675	683	T1-3	110 degC
101016jcej201005016	5	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	54	59	661	666	T2-4	dried
101016jcej201005016	5	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	0	2	607	609	T3-4	It
101016jcej201005016	5	4	Quantity	h	"{""unit"": ""h""}"	78	82	685	689	T1-4	16 h
101016jcej201005016	8	5	MeasuredEntity		"{""HasQuantity"": ""T1-5""}"	101	111	1067	1077	T3-5	isobutanol
101016jcej201005016	8	5	Quantity	mL	"{""unit"": ""mL""}"	113	119	1079	1085	T1-5	200 mL
101016jcej201005016	8	6	MeasuredEntity		"{""HasQuantity"": ""T1-6""}"	125	132	1091	1098	T3-6	ethanol
101016jcej201005016	8	6	Quantity	mL	"{""unit"": ""mL""}"	134	140	1100	1106	T1-6	150 mL
101016jcej201005016	8	7	MeasuredEntity		"{""HasQuantity"": ""T1-7""}"	125	132	1091	1098	T3-7	ethanol
101016jcej201005016	8	7	Quantity	%	"{""unit"": ""%""}"	142	146	1108	1112	T1-7	100%
101016jcej201005016	2	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	72	82	309	319	T2-8	dissolving
101016jcej201005016	2	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	83	87	320	324	T3-8	V2O5
101016jcej201005016	2	8	Quantity	g	"{""unit"": ""g""}"	89	94	326	331	T1-8	6.0 g
101016jcej201005016	2	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	72	82	309	319	T2-9	dissolving
101016jcej201005016	2	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	83	87	320	324	T3-9	V2O5
101016jcej201005016	2	9	Quantity	mmol	"{""unit"": ""mmol""}"	96	103	333	340	T1-9	33 mmol
101016jcej201005016	2	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	116	119	353	356	T2-10	HCl
101016jcej201005016	2	10	MeasuredEntity		"{""HasProperty"": ""T2-10""}"	108	115	345	352	T3-10	aqueous
101016jcej201005016	2	10	Quantity	%	"{""unit"": ""%""}"	121	124	358	361	T1-10	35%
101016jcej201005016	2	11	MeasuredEntity		"{""HasQuantity"": ""T1-11""}"	108	119	345	356	T3-11	aqueous HCl
101016jcej201005016	2	11	Quantity	mL	"{""unit"": ""mL""}"	126	131	363	368	T1-11	79 mL
101016jcej201005016	2	12	MeasuredProperty		"{""HasQuantity"": ""T1-12""}"	137	146	374	383	T2-12	refluxing
101016jcej201005016	2	12	MeasuredEntity		"{""HasProperty"": ""T2-12""}"	25	34	262	271	T3-12	precursor
101016jcej201005016	2	12	Quantity	h	"{""unit"": ""h""}"	151	154	388	391	T1-12	2 h
101016jcej201005016	7	13	MeasuredProperty		"{""HasQuantity"": ""T1-13""}"	38	48	910	920	T2-13	introduced
101016jcej201005016	7	13	MeasuredEntity		"{""HasProperty"": ""T2-13""}"	0	5	872	877	T3-13	H3PO4
101016jcej201005016	7	13	Quantity	%	"{""unit"": ""%""}"	7	10	879	882	T1-13	85%
