docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jcplett201608020	1	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	190	201	190	201	T2-1	synthesized
101016jcplett201608020	1	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	166	176	166	176	T3-1	CuFe2O4/GO
101016jcplett201608020	1	1	Quantity	wt%	"{""unit"": ""wt%""}"	178	184	178	184	T1-1	20 wt%
101016jcplett201608020	3	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	23	38	351	366	T2-2	Cu(CH3COO)2*H2O
101016jcplett201608020	3	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	4	11	332	339	T3-2	mixture
101016jcplett201608020	3	2	Quantity	g	"{""unit"": ""g""}"	15	22	343	350	T1-2	0.200 g
101016jcplett201608020	3	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	48	61	376	389	T2-3	Fe(NO3)3*9H2O
101016jcplett201608020	3	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	4	11	332	339	T3-3	mixture
101016jcplett201608020	3	3	Quantity	g	"{""unit"": ""g""}"	40	47	368	375	T1-3	0.811 g
101016jcplett201608020	3	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	72	87	400	415	T2-4	deionized water
101016jcplett201608020	3	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	4	11	332	339	T3-4	mixture
101016jcplett201608020	3	4	Quantity	ml	"{""unit"": ""ml""}"	66	71	394	399	T1-4	20 ml
101016jcplett201608020	3	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	139	146	467	474	T2-5	stirred
101016jcplett201608020	3	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	4	11	332	339	T3-5	mixture
101016jcplett201608020	3	5	Quantity	h	"{""unit"": ""h""}"	151	154	479	482	T1-5	1 h
101016jcplett201608020	5	6	MeasuredEntity		"{""HasQuantity"": ""T1-6""}"	6	14	568	576	T3-6	stirring
101016jcplett201608020	5	6	Quantity	min	"{""unit"": ""min""}"	19	25	581	587	T1-6	30 min
101016jcplett201608020	5	7	MeasuredEntity		"{""HasQuantity"": ""T1-7""}"	81	119	643	681	T3-7	Teflon-lined stainless steel autoclave
101016jcplett201608020	5	7	Quantity	mL	"{""unit"": ""mL""}"	74	80	636	642	T1-7	100 mL
101016jcplett201608020	5	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	132	140	694	702	T2-8	intained
101016jcplett201608020	5	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	31	50	593	612	T3-8	suspension solution
101016jcplett201608020	5	8	Quantity	h	"{""unit"": ""h""}"	157	161	719	723	T1-8	18 h
101016jcplett201608020	5	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	132	140	694	702	T2-9	intained
101016jcplett201608020	5	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	31	50	593	612	T3-9	suspension solution
101016jcplett201608020	5	9	Quantity	degC	"{""unit"": ""degC""}"	144	152	706	714	T1-9	220 degC
101016jcplett201608020	2	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	40	49	268	277	T2-10	dispersed
101016jcplett201608020	2	10	MeasuredEntity		"{""HasProperty"": ""T2-10""}"	33	35	261	263	T3-10	GO
101016jcplett201608020	2	10	Quantity	mg	"{""unit"": ""mg""}"	24	29	252	257	T1-10	60 mg
101016jcplett201608020	2	11	MeasuredEntity		"{""HasQuantity"": ""T1-11""}"	59	74	287	302	T3-11	deionized water
101016jcplett201608020	2	11	Quantity	mL	"{""unit"": ""mL""}"	53	58	281	286	T1-11	40 mL
101016jcplett201608020	2	12	MeasuredProperty		"{""HasQuantity"": ""T1-12""}"	80	90	308	318	T2-12	sonication
101016jcplett201608020	2	12	MeasuredEntity		"{""HasProperty"": ""T2-12""}"	24	74	252	302	T3-12	60 mg of GO was dispersed in 40 mL deionized water
101016jcplett201608020	2	12	Quantity	h	"{""unit"": ""h""}"	95	98	323	326	T1-12	1 h
101016jcplett201608020	4	13	MeasuredProperty		"{""HasQuantity"": ""T1-13""}"	4	6	488	490	T2-13	pH
101016jcplett201608020	4	13	MeasuredEntity		"{""HasProperty"": ""T2-13""}"	21	31	505	515	T3-13	suspension
101016jcplett201608020	4	13	Quantity			48	52	532	536	T1-13	10.0
101016jcplett201608020	4	14	MeasuredProperty		"{""HasQuantity"": ""T1-14""}"	53	58	537	542	T2-14	using
101016jcplett201608020	4	14	MeasuredEntity		"{""HasProperty"": ""T2-14""}"	63	76	547	560	T3-14	NaOH solution
101016jcplett201608020	4	14	Quantity	M	"{""unit"": ""M""}"	59	62	543	546	T1-14	6 M
101016jcplett201608020	6	15	MeasuredProperty		"{""HasQuantity"": ""T1-15""}"	42	47	767	772	T2-15	dried
101016jcplett201608020	6	15	MeasuredEntity		"{""HasProperty"": ""T2-15""}"	4	18	729	743	T3-15	final products
101016jcplett201608020	6	15	Quantity	degC	"{""unit"": ""degC""}"	68	75	793	800	T1-15	60 degC
