docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jelectacta201404084	4	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	95	109	646	660	T2-1	slowly dropped
101016jelectacta201404084	4	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	47	90	598	641	T3-1	aqueous solution containing 6.4 g KOH (98%)
101016jelectacta201404084	4	1	Quantity	ml	"{""unit"": ""ml""}"	40	46	591	597	T1-1	100 ml
101016jelectacta201404084	4	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	81	90	632	641	T2-2	KOH (98%)
101016jelectacta201404084	4	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	40	63	591	614	T3-2	100 ml aqueous solution
101016jelectacta201404084	4	2	Quantity	g	"{""unit"": ""g""}"	75	80	626	631	T1-2	6.4 g
101016jelectacta201404084	4	3	MeasuredEntity		"{""HasQuantity"": ""T1-3""}"	81	84	632	635	T3-3	KOH
101016jelectacta201404084	4	3	Quantity	%	"{""unit"": ""%""}"	86	89	637	640	T1-3	98%
101016jelectacta201404084	4	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	146	150	697	701	T2-4	kept
101016jelectacta201404084	4	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	119	141	670	692	T3-4	precipitation reaction
101016jelectacta201404084	4	4	Quantity	h	"{""unit"": ""h""}"	155	159	706	710	T1-4	24 h
101016jelectacta201404084	4	5	Quantity	degC	"{""unit"": ""degC""}"	20	27	571	578	T1-5	60 degC
101016jelectacta201404084	4	6	Quantity	min	"{""unit"": ""min""}"	32	38	583	589	T1-6	10 min
101016jelectacta201404084	5	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	32	37	744	749	T2-7	mixed
101016jelectacta201404084	5	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	54	71	766	783	T3-7	lithium carbonate
101016jelectacta201404084	5	7	Quantity	%	"{""unit"": ""%""}"	73	76	785	788	T1-7	98%
101016jelectacta201404084	6	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	43	57	834	848	T2-8	excess lithium
101016jelectacta201404084	6	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	20	30	811	821	T3-8	precursors
101016jelectacta201404084	6	8	Quantity	wt%	"{""unit"": ""wt%""}"	36	42	827	833	T1-8	10 wt%
101016jelectacta201404084	6	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	71	85	862	876	T2-9	excess lithium
101016jelectacta201404084	6	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	20	30	811	821	T3-9	precursors
101016jelectacta201404084	6	9	Quantity	wt%	"{""unit"": ""wt%""}"	65	70	856	861	T1-9	5 wt%
