docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jjeurceramsoc201504038	1	1	MeasuredEntity		"{""HasQuantity"": ""T1-1""}"	251	258	251	258	T3-1	α-Al2O3
101016jjeurceramsoc201504038	1	1	Quantity	%	"{""unit"": ""%""}"	260	266	260	266	T1-1	99.98%
101016jjeurceramsoc201504038	1	2	MeasuredEntity		"{""HasQuantity"": ""T1-2""}"	300	304	300	304	T3-2	Y2O3
101016jjeurceramsoc201504038	1	2	Quantity	%	"{""unit"": ""%""}"	306	313	306	313	T1-2	99.999%
101016jjeurceramsoc201504038	2	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	38	49	390	401	T2-3	ball-milled
101016jjeurceramsoc201504038	2	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	4	11	356	363	T3-3	powders
101016jjeurceramsoc201504038	2	3	Quantity	h	"{""unit"": ""h""}"	100	104	452	456	T1-3	10 h
101016jjeurceramsoc201504038	2	4	MeasuredEntity		"{""HasQuantity"": ""T1-4""}"	119	122	471	474	T3-4	MgO
101016jjeurceramsoc201504038	2	4	Quantity	%	"{""unit"": ""%""}"	131	138	483	490	T1-4	99.998%
101016jjeurceramsoc201504038	2	5	MeasuredEntity		"{""HasQuantity"": ""T1-5""}"	164	187	516	539	T3-5	tetraethoxysilane (TEOS
101016jjeurceramsoc201504038	2	5	Quantity	%	"{""unit"": ""%""}"	189	197	541	549	T1-5	>99.999%
101016jjeurceramsoc201504038	2	6	MeasuredEntity		"{""HasQuantity"": ""T1-6""}"	119	129	471	481	T3-6	MgO powder
101016jjeurceramsoc201504038	2	6	Quantity	wt%	"{""unit"": ""wt%""}"	110	118	462	470	T1-6	0.08 wt%
101016jjeurceramsoc201504038	2	7	MeasuredEntity		"{""HasQuantity"": ""T1-7""}"	164	187	516	539	T3-7	tetraethoxysilane (TEOS
101016jjeurceramsoc201504038	2	7	Quantity	wt%	"{""unit"": ""wt%""}"	156	163	508	515	T1-7	0.8 wt%
101016jjeurceramsoc201504038	3	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	20	33	602	615	T2-8	solid loading
101016jjeurceramsoc201504038	3	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	4	10	586	592	T3-8	slurry
101016jjeurceramsoc201504038	3	8	Quantity	g/ml	"{""unit"": ""g/ml""}"	37	45	619	627	T1-8	1.8 g/ml
101016jjeurceramsoc201504038	3	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	50	55	632	637	T2-9	dried
101016jjeurceramsoc201504038	3	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	4	10	586	592	T3-9	slurry
101016jjeurceramsoc201504038	3	9	Quantity	degC	"{""unit"": ""degC""}"	59	66	641	648	T1-9	80 degC
101016jjeurceramsoc201504038	3	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	50	55	632	637	T2-10	dried
