docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jmee201501022	10	1	MeasuredEntity		"{""HasQuantity"": ""T1-1""}"	44	60	1224	1240	T3-1	microwave powers
101016jmee201501022	10	1	Quantity	W	"{""unit"": ""W""}"	63	83	1243	1263	T1-1	200, 600, and 1000 W
101016jmee201501022	10	2	MeasuredEntity		"{""HasQuantity"": ""T1-2""}"	44	60	1224	1240	T3-2	microwave powers
101016jmee201501022	10	2	Quantity	W	"{""unit"": ""W""}"	68	83	1248	1263	T1-2	600, and 1000 W
101016jmee201501022	10	3	MeasuredEntity		"{""HasQuantity"": ""T1-3""}"	44	60	1224	1240	T3-3	microwave powers
101016jmee201501022	10	3	Quantity	W	"{""unit"": ""W""}"	77	83	1257	1263	T1-3	1000 W
101016jmee201501022	10	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	94	110	1274	1290	T2-4	reflux condition
101016jmee201501022	10	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	10	17	1190	1197	T3-4	mixture
101016jmee201501022	10	4	Quantity	min	"{""unit"": ""min""}"	115	121	1295	1301	T1-4	30 min
101016jmee201501022	2	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	42	47	303	308	T2-5	mixed
101016jmee201501022	2	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	7	36	268	297	T3-5	sulfuric acid and nitric acid
101016jmee201501022	2	5	Quantity	min	"{""unit"": ""min""}"	65	71	326	332	T1-5	15 min
101016jmee201501022	4	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	6	14	543	551	T2-6	reacting
101016jmee201501022	4	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	29	36	566	573	T3-6	mixture
101016jmee201501022	4	6	Quantity	h	"{""unit"": ""h""}"	19	23	556	560	T1-6	96 h
101016jmee201501022	8	7	MeasuredEntity		"{""HasQuantity"": ""T1-7""}"	33	41	1036	1044	T3-7	DI water
101016jmee201501022	8	7	Quantity	mg/ml	"{""unit"": ""mg/ml""}"	43	52	1046	1055	T1-7	1.5 mg/ml
101016jmee201501022	3	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	37	42	444	449	T2-8	added
101016jmee201501022	3	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	14	32	421	439	T3-8	potassium chlorate
101016jmee201501022	3	8	Quantity	min	"{""unit"": ""min""}"	6	12	413	419	T1-8	15 min
101016jmee201501022	12	9	MeasuredEntity		"{""HasQuantity"": ""T1-9""}"	56	73	1465	1482	T3-9	thermal reduction
101016jmee201501022	12	9	Quantity	K	"{""unit"": ""K""}"	97	102	1506	1511	T1-9	873 K
101016jmee201501022	7	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	101	106	965	970	T2-10	dried
101016jmee201501022	7	10	MeasuredEntity		"{""HasProperty"": ""T2-10""}"	72	83	936	947	T3-10	GO solution
101016jmee201501022	7	10	Quantity	degC	"{""unit"": ""degC""}"	121	128	985	992	T1-10	80 degC
