docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jmssp201501013	4	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	42	48	562	568	T2-1	adding
101016jmssp201501013	4	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	49	56	569	576	T3-1	gelatin
101016jmssp201501013	4	1	Quantity	g	"{""unit"": ""g""}"	58	64	578	584	T1-1	3.65 g
101016jmssp201501013	4	2	MeasuredEntity		"{""HasQuantity"": ""T1-2""}"	69	84	589	604	T3-2	distilled water
101016jmssp201501013	4	2	Quantity	degC	"{""unit"": ""degC""}"	88	95	608	615	T1-2	60 degC
101016jmssp201501013	6	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	14	22	883	891	T2-3	calcined
101016jmssp201501013	6	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	4	8	873	877	T3-3	gels
101016jmssp201501013	6	3	Quantity	degC	"{""unit"": ""degC""}"	26	34	895	903	T1-3	550 degC
101016jmssp201501013	6	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	14	22	883	891	T2-4	calcined
101016jmssp201501013	6	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	4	8	873	877	T3-4	gels
101016jmssp201501013	6	4	Quantity	h	"{""unit"": ""h""}"	39	42	908	911	T1-4	5 h
101016jmssp201501013	6	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	49	61	918	930	T2-5	heating rate
101016jmssp201501013	6	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	4	8	873	877	T3-5	gels
101016jmssp201501013	6	5	Quantity	degC/min	"{""unit"": ""degC/min""}"	65	75	934	944	T1-5	2 degC/min
101016jmssp201501013	5	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	52	58	825	831	T2-6	heated
101016jmssp201501013	5	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	16	34	789	807	T3-6	compound solutions
101016jmssp201501013	5	6	Quantity	degC	"{""unit"": ""degC""}"	62	69	835	842	T1-6	80 degC
