docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jnanoen201603001	1	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	226	231	226	231	T2-1	mixed
101016jnanoen201603001	1	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	197	201	197	201	T3-1	V2O5
101016jnanoen201603001	1	1	Quantity	g	"{""unit"": ""g""}"	178	185	178	185	T1-1	100.0 g
101016jnanoen201603001	1	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	226	231	226	231	T2-2	mixed
101016jnanoen201603001	1	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	248	252	248	252	T3-2	NaCl
101016jnanoen201603001	1	2	Quantity	L	"{""unit"": ""L""}"	239	244	239	244	T1-2	1.5 L
101016jnanoen201603001	1	3	MeasuredEntity		"{""HasQuantity"": ""T1-3""}"	248	252	248	252	T3-3	NaCl
101016jnanoen201603001	1	3	Quantity	M	"{""unit"": ""M""}"	254	259	254	259	T1-3	2.0 M
101016jnanoen201603001	1	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	293	301	293	301	T2-4	stirring
101016jnanoen201603001	1	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	178	277	178	277	T3-4	100.0 g commercial V2O5 powder (Alfa Aesar) was mixed with a 1.5 L of NaCl (2.0 M) aqueous solution
101016jnanoen201603001	1	4	Quantity	degC	"{""unit"": ""degC""}"	323	331	323	331	T1-4	~25 degC
101016jnanoen201603001	2	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	25	32	359	366	T2-5	changed
101016jnanoen201603001	2	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	16	24	350	358	T3-5	solution
101016jnanoen201603001	2	5	Quantity	h	"{""unit"": ""h""}"	0	10	334	344	T1-5	After 72 h
101016jnanoen201603001	3	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	118	123	509	514	T2-6	dried
101016jnanoen201603001	3	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	4	11	395	402	T3-6	product
101016jnanoen201603001	3	6	Quantity	degC	"{""unit"": ""degC""}"	138	145	529	536	T1-6	80 degC
101016jnanoen201603001	3	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	118	123	509	514	T2-7	dried
101016jnanoen201603001	3	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	4	11	395	402	T3-7	product
101016jnanoen201603001	3	7	Quantity	h	"{""unit"": ""h""}"	150	154	541	545	T1-7	12 h
101016jnanoen201603001	4	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	40	50	587	597	T2-8	high yield
101016jnanoen201603001	4	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	16	23	563	570	T3-8	product
101016jnanoen201603001	4	8	Quantity	g	"{""unit"": ""g""}"	52	59	599	606	T1-8	~99.2 g
