docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jpowtec201311008	15	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	16	24	2191	2199	T2-1	calcined
101016jpowtec201311008	15	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	9	11	2184	2186	T3-1	it
101016jpowtec201311008	15	1	Quantity	h	"{""unit"": ""h""}"	44	47	2219	2222	T1-1	2 h
101016jpowtec201311008	15	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	16	24	2191	2199	T2-2	calcined
101016jpowtec201311008	15	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	9	11	2184	2186	T3-2	it
101016jpowtec201311008	15	2	Quantity	degC	"{""unit"": ""degC""}"	51	59	2226	2234	T1-2	540 degC
101016jpowtec201311008	15	3	MeasuredEntity		"{""HasQuantity"": ""T1-3""}"	65	77	2240	2252	T3-3	iron content
101016jpowtec201311008	15	3	Quantity	wt.%	"{""unit"": ""wt.%""}"	117	126	2292	2301	T1-3	1.03 wt.%
101016jpowtec201311008	15	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	65	77	2240	2252	T2-4	iron content
101016jpowtec201311008	15	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	85	99	2260	2274	T3-4	silica support
101016jpowtec201311008	15	4	Quantity	mgg- 1	"{""unit"": ""mgg- 1""}"	104	115	2279	2290	T1-4	10.3 mgg- 1
101016jpowtec201311008	12	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	43	91	1772	1820	T2-5	increasing the temperature from room temperature
101016jpowtec201311008	12	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	9	11	1738	1740	T3-5	it
101016jpowtec201311008	12	5	Quantity	degC	"{""unit"": ""degC""}"	95	103	1824	1832	T1-5	540 degC
101016jpowtec201311008	12	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	111	123	1840	1852	T2-6	heating rate
101016jpowtec201311008	12	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	43	103	1772	1832	T3-6	increasing the temperature from room temperature to 540 degC
101016jpowtec201311008	12	6	Quantity	degCmin- 1	"{""unit"": ""degCmin- 1""}"	127	138	1856	1867	T1-6	2degCmin- 1
101016jpowtec201311008	12	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	144	151	1873	1880	T2-7	holding
101016jpowtec201311008	12	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	58	69	1787	1798	T3-7	temperature
101016jpowtec201311008	12	7	Quantity	h	"{""unit"": ""h""}"	156	159	1885	1888	T1-7	7 h
101016jpowtec201311008	12	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	144	159	1873	1888	T2-8	holding for 7 h
101016jpowtec201311008	12	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	58	69	1787	1798	T3-8	temperature
101016jpowtec201311008	12	8	Quantity	degC	"{""unit"": ""degC""}"	163	171	1892	1900	T1-8	540 degC
101016jpowtec201311008	8	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	91	98	1096	1103	T2-9	M ratio
101016jpowtec201311008	8	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	27	59	1032	1064	T3-9	CTAT-Pluronic F68 mixed solution
101016jpowtec201311008	8	9	Quantity			81	90	1086	1095	T1-9	0.75:0.25
101016jpowtec201311008	8	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	65	73	1070	1078	T2-10	prepared
101016jpowtec201311008	8	10	MeasuredEntity		"{""HasProperty"": ""T2-10""}"	27	59	1032	1064	T3-10	CTAT-Pluronic F68 mixed solution
101016jpowtec201311008	8	10	Quantity	mL	"{""unit"": ""mL""}"	18	23	1023	1028	T1-10	38 mL
101016jpowtec201311008	2	11	MeasuredProperty		"{""HasQuantity"": ""T1-11""}"	125	127	273	275	T2-11	MW
101016jpowtec201311008	2	11	MeasuredEntity		"{""HasProperty"": ""T2-11""}"	63	123	211	271	T3-11	Cetyltrimethylammonium p-toluene sulfonate or tosylate (CTAT
101016jpowtec201311008	2	11	Quantity	gmol- 1	"{""unit"": ""gmol- 1""}"	130	143	278	291	T1-11	455.7 gmol- 1
101016jpowtec201311008	2	12	MeasuredEntity		"{""HasQuantity"": ""T1-12""}"	146	193	294	341	T3-12	Pluronic F68 and tetraethyl orthosilicate (TEOS
101016jpowtec201311008	2	12	Quantity	%	"{""unit"": ""%""}"	195	198	343	346	T1-12	99%
101016jpowtec201311008	9	13	MeasuredProperty		"{""HasQuantity"": ""T1-13""}"	17	24	1175	1182	T2-13	stirred
101016jpowtec201311008	9	13	MeasuredEntity		"{""HasProperty"": ""T2-13""}"	5	12	1163	1170	T3-13	mixture
101016jpowtec201311008	9	13	Quantity	degC	"{""unit"": ""degC""}"	47	54	1205	1212	T1-13	35 degC
101016jpowtec201311008	13	14	MeasuredProperty		"{""HasQuantity"": ""T1-14""}"	39	44	2014	2019	T2-14	mixed
