docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101016jscriptamat201603010	1	1	MeasuredEntity		"{""HasQuantity"": ""T1-1""}"	195	212	195	212	T3-1	Bismuth shots (Bi
101016jscriptamat201603010	1	1	Quantity	%	"{""unit"": ""%""}"	232	238	232	238	T1-1	99.99%
101016jscriptamat201603010	1	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	248	256	248	256	T2-2	dissolve
101016jscriptamat201603010	1	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	195	208	195	208	T3-2	Bismuth shots
101016jscriptamat201603010	1	2	Quantity	mm	"{""unit"": ""mm""}"	240	246	240	246	T1-2	2-5 mm
101016jscriptamat201603010	1	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	260	267	260	267	T2-3	diluted
101016jscriptamat201603010	1	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	287	295	287	295	T3-3	HNO3(aq)
101016jscriptamat201603010	1	3	Quantity	M	"{""unit"": ""M""}"	281	286	281	286	T1-3	2.5 M
101016jscriptamat201603010	2	4	MeasuredEntity		"{""HasQuantity"": ""T1-4""}"	0	21	435	456	T3-4	Tellurium powders (Te
101016jscriptamat201603010	2	4	Quantity	%	"{""unit"": ""%""}"	41	47	476	482	T1-4	99.99%
101016jscriptamat201603010	2	5	MeasuredEntity		"{""HasQuantity"": ""T1-5""}"	0	17	435	452	T3-5	Tellurium powders
101016jscriptamat201603010	2	5	Quantity	μm	"{""unit"": ""\u03bcm""}"	49	54	484	489	T1-5	45 μm
101016jscriptamat201603010	5	6	MeasuredEntity		"{""HasQuantity"": ""T1-6""}"	48	68	1056	1076	T3-6	selenium powders (Se
101016jscriptamat201603010	5	6	Quantity	%	"{""unit"": ""%""}"	88	93	1096	1101	T1-6	99.9%
101016jscriptamat201603010	5	7	MeasuredEntity		"{""HasQuantity"": ""T1-7""}"	48	68	1056	1076	T3-7	selenium powders (Se
101016jscriptamat201603010	5	7	Quantity	μm	"{""unit"": ""\u03bcm""}"	95	100	1103	1108	T1-7	75 μm
