docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101039b910641c	5	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	39	64	837	862	T2-1	poly(tetrafluoroethylene)
101039b910641c	5	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	71	97	869	895	T3-1	stainless steel containers
101039b910641c	5	1	Quantity	mL	"{""unit"": ""mL""}"	34	38	832	836	T1-1	23mL
101039b910641c	15	2	MeasuredEntity		"{""HasQuantity"": ""T1-2""}"	7	8	1825	1826	T3-2	C
101039b910641c	15	2	Quantity			10	14	1828	1832	T1-2	39.6
101039b910641c	15	3	MeasuredEntity		"{""HasQuantity"": ""T1-3""}"	16	17	1834	1835	T3-3	H
101039b910641c	15	3	Quantity			19	23	1837	1841	T1-3	2.33
101039b910641c	15	4	MeasuredEntity		"{""HasQuantity"": ""T1-4""}"	25	26	1843	1844	T3-4	N
101039b910641c	15	4	Quantity			28	32	1846	1850	T1-4	6.03
101039b910641c	17	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	69	74	2285	2290	T2-5	yield
101039b910641c	17	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	0	11	2216	2227	T3-5	Blue plates
101039b910641c	17	5	Quantity	%	"{""unit"": ""%""}"	65	68	2281	2284	T1-5	65%
101039b910641c	23	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	17	21	2560	2564	T2-6	V2O5
101039b910641c	23	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	5	13	2548	2556	T3-6	solution
101039b910641c	23	6	Quantity	g	"{""unit"": ""g""}"	23	29	2566	2572	T1-6	0.077g
101039b910641c	23	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	17	21	2560	2564	T2-7	V2O5
101039b910641c	23	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	5	13	2548	2556	T3-7	solution
101039b910641c	23	7	Quantity	mmol	"{""unit"": ""mmol""}"	31	40	2574	2583	T1-7	0.423mmol
101039b910641c	23	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	43	65	2586	2608	T2-8	cupric acetate hydrate
101039b910641c	23	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	5	13	2548	2556	T3-8	solution
101039b910641c	23	8	Quantity	g	"{""unit"": ""g""}"	67	74	2610	2617	T1-8	0.210 g
101039b910641c	23	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	43	65	2586	2608	T2-9	cupric acetate hydrate
101039b910641c	23	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	5	13	2548	2556	T3-9	solution
101039b910641c	23	9	Quantity	mmol	"{""unit"": ""mmol""}"	76	85	2619	2628	T1-9	1.16 mmol
101039b910641c	23	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	99	110	2642	2653	T2-10	terpyridine
101039b910641c	23	10	MeasuredEntity		"{""HasProperty"": ""T2-10""}"	5	13	2548	2556	T3-10	solution
101039b910641c	23	10	Quantity	g	"{""unit"": ""g""}"	112	119	2655	2662	T1-10	0.103 g
101039b910641c	23	11	MeasuredProperty		"{""HasQuantity"": ""T1-11""}"	99	110	2642	2653	T2-11	terpyridine
101039b910641c	23	11	MeasuredEntity		"{""HasProperty"": ""T2-11""}"	5	13	2548	2556	T3-11	solution
101039b910641c	23	11	Quantity	mmol	"{""unit"": ""mmol""}"	121	131	2664	2674	T1-11	0.442 mmol
101039b910641c	23	12	MeasuredProperty		"{""HasQuantity"": ""T1-12""}"	134	161	2677	2704	T2-12	1,3-phenyldiphosphonic acid
101039b910641c	23	12	MeasuredEntity		"{""HasProperty"": ""T2-12""}"	5	13	2548	2556	T3-12	solution
101039b910641c	23	12	Quantity	g	"{""unit"": ""g""}"	163	170	2706	2713	T1-12	0.051 g
101039b910641c	23	13	MeasuredProperty		"{""HasQuantity"": ""T1-13""}"	134	161	2677	2704	T2-13	1,3-phenyldiphosphonic acid
101039b910641c	23	13	MeasuredEntity		"{""HasProperty"": ""T2-13""}"	5	13	2548	2556	T3-13	solution
101039b910641c	23	13	Quantity	mmol	"{""unit"": ""mmol""}"	172	182	2715	2725	T1-13	0.214 mmol
101039b910641c	23	14	MeasuredProperty		"{""HasQuantity"": ""T1-14""}"	185	188	2728	2731	T2-14	H2O
101039b910641c	23	14	MeasuredEntity		"{""HasProperty"": ""T2-14""}"	5	13	2548	2556	T3-14	solution
101039b910641c	23	14	Quantity	mL	"{""unit"": ""mL""}"	190	197	2733	2740	T1-14	5.00 mL
101039b910641c	23	15	MeasuredProperty		"{""HasQuantity"": ""T1-15""}"	185	188	2728	2731	T2-15	H2O
101039b910641c	23	15	MeasuredEntity		"{""HasProperty"": ""T2-15""}"	5	13	2548	2556	T3-15	solution
101039b910641c	23	15	Quantity	mmol	"{""unit"": ""mmol""}"	199	210	2742	2753	T1-15	277.47 mmol
101039b910641c	23	16	MeasuredProperty		"{""HasQuantity"": ""T1-16""}"	217	228	2760	2771	T2-16	acetic acid
101039b910641c	23	16	MeasuredEntity		"{""HasProperty"": ""T2-16""}"	5	13	2548	2556	T3-16	solution
101039b910641c	23	16	Quantity	mL	"{""unit"": ""mL""}"	230	238	2773	2781	T1-16	0.100 mL
101039b910641c	23	17	MeasuredProperty		"{""HasQuantity"": ""T1-17""}"	217	228	2760	2771	T2-17	acetic acid
101039b910641c	23	17	MeasuredEntity		"{""HasProperty"": ""T2-17""}"	5	13	2548	2556	T3-17	solution
101039b910641c	23	17	Quantity	mmol	"{""unit"": ""mmol""}"	240	249	2783	2792	T1-17	1.74 mmol
101039b910641c	23	18	MeasuredProperty		"{""HasQuantity"": ""T1-18""}"	258	268	2801	2811	T2-18	mole ratio
101039b910641c	23	18	MeasuredEntity		"{""HasProperty"": ""T2-18""}"	17	228	2560	2771	T3-18	V2O5 (0.077g, 0.423mmol), cupric acetate hydrate (0.210 g, 1.16 mmol), 2,2':6,2'' terpyridine (0.103 g, 0.442 mmol), 1,3-phenyldiphosphonic acid (0.051 g, 0.214 mmol), H2O (5.00 mL, 277.47 mmol), and acetic acid
101039b910641c	23	18	Quantity			269	298	2812	2841	T1-18	1.98:5.42:2.07:1.00:1297:8.13
101039b910641c	23	19	MeasuredProperty		"{""HasQuantity"": ""T1-19""}"	303	309	2846	2852	T2-19	heated
101039b910641c	23	19	MeasuredEntity		"{""HasProperty"": ""T2-19""}"	5	13	2548	2556	T3-19	solution
101039b910641c	23	19	Quantity	degC	"{""unit"": ""degC""}"	313	321	2856	2864	T1-19	135 degC
101039b910641c	23	20	MeasuredProperty		"{""HasQuantity"": ""T1-20""}"	303	309	2846	2852	T2-20	heated
101039b910641c	23	20	MeasuredEntity		"{""HasProperty"": ""T2-20""}"	5	13	2548	2556	T3-20	solution
101039b910641c	23	20	Quantity	h	"{""unit"": ""h""}"	326	330	2869	2873	T1-20	60 h
101039b910641c	23	21	MeasuredProperty		"{""HasQuantity"": ""T1-21""}"	369	374	2912	2917	T2-21	yield
101039b910641c	23	21	MeasuredEntity		"{""HasProperty"": ""T2-21""}"	344	356	2887	2899	T3-21	green blocks
101039b910641c	23	21	Quantity	%	"{""unit"": ""%""}"	365	368	2908	2911	T1-21	30%
101039b910641c	23	22	MeasuredProperty		"{""HasQuantity"": ""T1-22""}"	384	386	2927	2929	T2-22	pH
101039b910641c	23	22	MeasuredEntity		"{""HasProperty"": ""T2-22""}"	5	13	2548	2556	T3-22	solution
101039b910641c	23	22	Quantity			388	391	2931	2934	T1-22	3.0
101039b910641c	23	23	MeasuredProperty		"{""HasQuantity"": ""T1-23""}"	399	401	2942	2944	T2-23	pH
