docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101039c4cy00238e	14	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	23	28	1635	1640	T2-1	dried
101039c4cy00238e	14	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	4	18	1616	1630	T3-1	obtained solid
101039c4cy00238e	14	1	Quantity	degC	"{""unit"": ""degC""}"	32	40	1644	1652	T1-1	120 degC
101039c4cy00238e	14	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	23	28	1635	1640	T2-2	dried
101039c4cy00238e	14	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	4	18	1616	1630	T3-2	obtained solid
101039c4cy00238e	14	2	Quantity	hours	"{""unit"": ""hours""}"	45	53	1657	1665	T1-2	24 hours
101039c4cy00238e	16	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	26	30	1850	1854	T2-3	kept
101039c4cy00238e	16	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	4	21	1828	1845	T3-3	resulting mixture
101039c4cy00238e	16	3	Quantity	degC	"{""unit"": ""degC""}"	34	41	1858	1865	T1-3	40 degC
101039c4cy00238e	16	4	MeasuredProperty		"{""HasQuantity"": ""T1-4""}"	26	30	1850	1854	T2-4	kept
101039c4cy00238e	16	4	MeasuredEntity		"{""HasProperty"": ""T2-4""}"	4	21	1828	1845	T3-4	resulting mixture
101039c4cy00238e	16	4	Quantity	hours	"{""unit"": ""hours""}"	46	54	1870	1878	T1-4	24 hours
101039c4cy00238e	16	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	64	76	1888	1900	T2-5	precipitated
101039c4cy00238e	16	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	4	21	1828	1845	T3-5	resulting mixture
101039c4cy00238e	16	5	Quantity	degC	"{""unit"": ""degC""}"	108	116	1932	1940	T1-5	100 degC
101039c4cy00238e	16	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	64	76	1888	1900	T2-6	precipitated
101039c4cy00238e	16	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	4	21	1828	1845	T3-6	resulting mixture
101039c4cy00238e	16	6	Quantity	hours	"{""unit"": ""hours""}"	121	129	1945	1953	T1-6	48 hours
101039c4cy00238e	28	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	67	72	3199	3204	T2-7	added
101039c4cy00238e	28	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	21	43	3153	3175	T3-7	p-toluenesulfonic acid
101039c4cy00238e	28	7	Quantity	mg	"{""unit"": ""mg""}"	0	6	3132	3138	T1-7	645 mg
101039c4cy00238e	28	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	67	72	3199	3204	T2-8	added
101039c4cy00238e	28	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	21	43	3153	3175	T3-8	p-toluenesulfonic acid
101039c4cy00238e	28	8	Quantity	mmol	"{""unit"": ""mmol""}"	8	16	3140	3148	T1-8	3.4 mmol
101039c4cy00238e	28	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	67	72	3199	3204	T2-9	added
101039c4cy00238e	28	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	56	61	3188	3193	T3-9	ether
101039c4cy00238e	28	9	Quantity	mL	"{""unit"": ""mL""}"	47	52	3179	3184	T1-9	13 mL
101039c4cy00238e	28	10	MeasuredEntity		"{""HasQuantity"": ""T1-10""}"	86	90	3218	3222	T3-10	MeOH
101039c4cy00238e	28	10	Quantity	mL	"{""unit"": ""mL""}"	76	82	3208	3214	T1-10	100 mL
101039c4cy00238e	6	11	MeasuredProperty		"{""HasQuantity"": ""T1-11""}"	15	26	636	647	T2-11	resistivity
101039c4cy00238e	6	11	MeasuredEntity		"{""HasProperty"": ""T2-11""}"	0	13	621	634	T3-11	Milli-Q water
101039c4cy00238e	6	11	Quantity	MΩ cm-1	"{""unit"": ""M\u03a9 cm-1""}"	27	39	648	660	T1-11	18.2 MΩ cm-1
101039c4cy00238e	6	12	MeasuredProperty		"{""HasQuantity"": ""T1-12""}"	60	66	681	687	T2-12	filter
101039c4cy00238e	6	12	MeasuredEntity		"{""HasProperty"": ""T2-12""}"	0	13	621	634	T3-12	Milli-Q water
101039c4cy00238e	6	12	Quantity	μm	"{""unit"": ""\u03bcm""}"	52	59	673	680	T1-12	0.22 μm
101039c4cy00238e	6	13	MeasuredProperty		"{""HasQuantity"": ""T1-13""}"	15	39	636	660	T2-13	resistivity 18.2 MΩ cm-1
101039c4cy00238e	6	13	MeasuredEntity		"{""HasProperty"": ""T2-13""}"	0	13	621	634	T3-13	Milli-Q water
101039c4cy00238e	6	13	Quantity	degC	"{""unit"": ""degC""}"	43	50	664	671	T1-13	25 degC
101039c4cy00238e	15	14	MeasuredProperty		"{""HasQuantity"": ""T1-14""}"	21	30	1687	1696	T2-14	dispersed
101039c4cy00238e	15	14	MeasuredEntity		"{""HasProperty"": ""T2-14""}"	10	15	1676	1681	T3-14	P-123
101039c4cy00238e	15	14	Quantity	g	"{""unit"": ""g""}"	1	6	1667	1672	T1-14	1.5 g
101039c4cy00238e	15	15	MeasuredEntity		"{""HasQuantity"": ""T1-15""}"	43	56	1709	1722	T3-15	Milli-Q water
