docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101039c6ta05384j	2	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	95	104	300	309	T2-1	dissolved
101039c6ta05384j	2	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	22	32	227	237	T3-1	NiCl2*6H2O
101039c6ta05384j	2	1	Quantity	g	"{""unit"": ""g""}"	34	41	239	246	T1-1	0.173 g
101039c6ta05384j	2	2	MeasuredProperty		"{""HasQuantity"": ""T1-2""}"	95	104	300	309	T2-2	dissolved
101039c6ta05384j	2	2	MeasuredEntity		"{""HasProperty"": ""T2-2""}"	47	79	252	284	T3-2	p-benzenedicarboxylic acid (PTA)
101039c6ta05384j	2	2	Quantity	g	"{""unit"": ""g""}"	81	88	286	293	T1-2	0.332 g
101039c6ta05384j	2	3	MeasuredEntity		"{""HasQuantity"": ""T1-3""}"	123	150	328	355	T3-3	N,N-dimethylformamide (DMF)
101039c6ta05384j	2	3	Quantity	mL	"{""unit"": ""mL""}"	108	113	313	318	T1-3	10 mL
101039c6ta05384j	2	4	MeasuredEntity		"{""HasQuantity"": ""T1-4""}"	123	150	328	355	T3-4	N,N-dimethylformamide (DMF)
101039c6ta05384j	2	4	Quantity	mL	"{""unit"": ""mL""}"	118	122	323	327	T1-4	5 mL
101039c6ta05384j	2	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	95	104	300	309	T2-5	dissolved
101039c6ta05384j	2	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	22	89	227	294	T3-5	NiCl2*6H2O (0.173 g) and p-benzenedicarboxylic acid (PTA) (0.332 g)
101039c6ta05384j	2	5	Quantity	min	"{""unit"": ""min""}"	193	199	398	404	T1-5	20 min
101039c6ta05384j	4	6	MeasuredProperty		"{""HasQuantity"": ""T1-6""}"	140	150	671	681	T2-6	maintained
101039c6ta05384j	4	6	MeasuredEntity		"{""HasProperty"": ""T2-6""}"	39	58	570	589	T3-6	as-prepared mixture
101039c6ta05384j	4	6	Quantity	degC	"{""unit"": ""degC""}"	154	162	685	693	T1-6	120 degC
101039c6ta05384j	4	7	MeasuredProperty		"{""HasQuantity"": ""T1-7""}"	140	150	671	681	T2-7	maintained
101039c6ta05384j	4	7	MeasuredEntity		"{""HasProperty"": ""T2-7""}"	39	58	570	589	T3-7	as-prepared mixture
101039c6ta05384j	4	7	Quantity	h	"{""unit"": ""h""}"	167	171	698	702	T1-7	16 h
101039c6ta05384j	4	8	MeasuredProperty		"{""HasQuantity"": ""T1-8""}"	128	134	659	665	T2-8	volume
101039c6ta05384j	4	8	MeasuredEntity		"{""HasProperty"": ""T2-8""}"	82	120	613	651	T3-8	Teflon-lined stainless steel autoclave
101039c6ta05384j	4	8	Quantity	mL	"{""unit"": ""mL""}"	122	127	653	658	T1-8	50 mL
101039c6ta05384j	4	9	MeasuredProperty		"{""HasQuantity"": ""T1-9""}"	257	271	788	802	T2-9	centrifugation
101039c6ta05384j	4	9	MeasuredEntity		"{""HasProperty"": ""T2-9""}"	230	241	761	772	T3-9	precipitate
101039c6ta05384j	4	9	Quantity	rpm	"{""unit"": ""rpm""}"	275	284	806	815	T1-9	10000 rpm
101039c6ta05384j	4	10	MeasuredProperty		"{""HasQuantity"": ""T1-10""}"	257	271	788	802	T2-10	centrifugation
101039c6ta05384j	4	10	MeasuredEntity		"{""HasProperty"": ""T2-10""}"	230	241	761	772	T3-10	precipitate
101039c6ta05384j	4	10	Quantity	min	"{""unit"": ""min""}"	289	294	820	825	T1-10	5 min
101039c6ta05384j	5	11	MeasuredProperty		"{""HasQuantity"": ""T1-11""}"	17	64	947	994	T2-11	fully activated by removing solvent with vacuum
101039c6ta05384j	5	11	MeasuredEntity		"{""HasProperty"": ""T2-11""}"	4	11	934	941	T3-11	samples
101039c6ta05384j	5	11	Quantity	degC	"{""unit"": ""degC""}"	68	76	998	1006	T1-11	100 degC
101039c6ta05384j	5	12	MeasuredProperty		"{""HasQuantity"": ""T1-12""}"	36	64	966	994	T2-12	removing solvent with vacuum
101039c6ta05384j	5	12	MeasuredEntity		"{""HasProperty"": ""T2-12""}"	4	11	934	941	T3-12	samples
101039c6ta05384j	5	12	Quantity	h	"{""unit"": ""h""}"	82	86	1012	1016	T1-12	12 h
