docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
101039c7nr05695h	10	1	MeasuredProperty		"{""HasQuantity"": ""T1-1""}"	108	134	1555	1581	T2-1	added to the PTAA solution
101039c7nr05695h	10	1	MeasuredEntity		"{""HasProperty"": ""T2-1""}"	24	35	1471	1482	T3-1	Li-TFSi/ACN
101039c7nr05695h	10	1	Quantity	μL	"{""unit"": ""\u03bcL""}"	15	20	1462	1467	T1-1	15 μL
101039c7nr05695h	10	2	MeasuredEntity		"{""HasQuantity"": ""T1-2""}"	47	54	1494	1501	T3-2	Li-TFSi
101039c7nr05695h	10	2	Quantity	mg	"{""unit"": ""mg""}"	37	43	1484	1490	T1-2	170 mg
101039c7nr05695h	10	3	MeasuredProperty		"{""HasQuantity"": ""T1-3""}"	108	134	1555	1581	T2-3	added to the PTAA solution
101039c7nr05695h	10	3	MeasuredEntity		"{""HasProperty"": ""T2-3""}"	84	91	1531	1538	T3-3	tBP/ACN
101039c7nr05695h	10	3	Quantity	μL	"{""unit"": ""\u03bcL""}"	75	80	1522	1527	T1-3	15 μL
101039c7nr05695h	10	4	MeasuredEntity		"{""HasQuantity"": ""T1-4""}"	66	69	1513	1516	T3-4	ACN
101039c7nr05695h	10	4	Quantity	mL	"{""unit"": ""mL""}"	58	62	1505	1509	T1-4	1 mL
101039c7nr05695h	11	5	MeasuredProperty		"{""HasQuantity"": ""T1-5""}"	4	45	1587	1628	T2-5	PEDOT:PSS solution was modified by mixing
101039c7nr05695h	11	5	MeasuredEntity		"{""HasProperty"": ""T2-5""}"	52	64	1635	1647	T3-5	Triton X-100
101039c7nr05695h	11	5	Quantity	wt%	"{""unit"": ""wt%""}"	46	51	1629	1634	T1-5	1 wt%
101039c7nr05695h	1	6	MeasuredEntity		"{""HasQuantity"": ""T1-6""}"	566	583	566	583	T3-6	anhydrous toluene
101039c7nr05695h	1	6	Quantity	%	"{""unit"": ""%""}"	585	590	585	590	T1-6	99.8%
101039c7nr05695h	1	7	MeasuredEntity		"{""HasQuantity"": ""T1-7""}"	593	618	593	618	T3-7	4-tert-butylpyridine (tBP
101039c7nr05695h	1	7	Quantity	%	"{""unit"": ""%""}"	620	623	620	623	T1-7	96%
101039c7nr05695h	1	8	MeasuredEntity		"{""HasQuantity"": ""T1-8""}"	626	653	626	653	T3-8	anhydrous chlorobenzene (CB
